"Status","Invoiced","Number","Date","Buyer","Job","Quantity","Approved By","Amount","Shipping Date","Seller","Amount (CAD)","Unbilled Balance (CAD)","Unpaid Balance (CAD)","Employee","Reference","Weight (lb)","Volume (ft³)","Approved Date","Payment Terms","Incoterms","Notes","Currency","Billing Address","Shipping Address","Seller Address","Modes of Transportation","Last Event","Online","Type","Exchange Rate","Is Cancelled","Reverse Exchange Rate","Paid","Division","Template Name","Tax Amt. (CAD)","Amt. Before Tax (CAD)","Other Charges (CAD)","Items Amount (CAD)","Online Creator","Is Printed","Attachments","Backordered","External Id","Channel","Store Order Reference","Store Order Date","Courier","Shipment Type","Shipping Cost","Salesperson","Billing Client","Synced to Logistico","POS Order","Fulfilled","Total Discount (CAD)","Total Discount","Returning","Purchase Order","Lot Number","Container#"
"Delivered","Yes","2545","01/04/2023","Costco Varennes","2545","900","Naomi Bendayan","USD 25686.00","01/05/2023","Equifruit, Inc.","35,081.94","971.08","0.00","Marie Lamare",,"35,992.67","1,906.99","01/10/2023","Net 30",,,"United States Dollar","3200 Chem. de la Baronnie, Varennes, QC J3X 0G3. Canada","3200 Chem. de la Baronnie, Varennes, QC J3X 0G3. Canada","5311, boulevard de Maisonneuve ouest
Suite 304, Montréal, QC H4A 1Z5. Canada",,,"No","Unknown","0.73","No","1.37","Yes",,,"0.00","35,081.94","0.00","35,081.94",,"No","No","No",,,,,,,"0.00",,"Costco Varennes","No","No","No","0.00","USD 0.00","0","574-1222588",,
"Delivered","Yes","2534","01/03/2023","Courchesne Larose","2534","960","Naomi Bendayan","USD 25737.60","01/04/2023","Equifruit, Inc.","35,080.35","-72.06","0.00","Marie Lamare",,"0.00","0.00","01/10/2023","Net 30",,,"United States Dollar","9761 boul. des Sciences, Montréal, QC H1J 0A6. Canada","9761 boul. des Sciences, Montréal, QC H1J 0A6. Canada","5311, boulevard de Maisonneuve ouest
Suite 304, Montréal, QC H4A 1Z5. Canada",,,"No","Unknown","0.73","No","1.36","Yes",,,"0.00","35,080.35","0.00","35,080.35",,"No","No","No",,,,,,,"0.00",,"Courchesne Larose","No","No","No","0.00","USD 0.00","0","2283921",,
"Delivered","Yes","2541","01/03/2023","Chiovitti Banana Co., Ltd","2541","960",,"USD 23145.60","01/04/2023","Equifruit, Inc.","31,547.45","-64.81","0.00","Marie Lamare",,"38,392.18","2,034.12",,"Net 30",,,"United States Dollar","26 Magnificent Road, Toronto, ON M8Z 4T3. Canada","26 Magnificent Road, Toronto, ON M8Z 4T3. Canada","5311, boulevard de Maisonneuve ouest
Suite 304, Montréal, QC H4A 1Z5. Canada",,,"No","Unknown","0.73","No","1.36","Yes",,,"0.00","31,547.45","0.00","31,547.45",,"No","No","No",,,,,,,"0.00",,"Chiovitti Banana Co., Ltd","No","No","No","0.00","USD 0.00","0","230105",,
"Delivered","Yes","2542G","12/28/2022","GO FRESH","2542","336","Naomi Bendayan","USD 9132.48","01/02/2023","Equifruit, Inc.","12,447.57","0.00","0.00","Marie Lamare",,"13,437.26","711.94","01/04/2023","Net 30",,,"United States Dollar","247-165 the Queensway, Toronto, ON M8Y 1H8. Canada","302 Dwight Avenue, Toronto, ON M8W 2W7. Canada","5311, boulevard de Maisonneuve ouest
Suite 304, Montréal, QC H4A 1Z5. Canada",,,"No","Unknown","0.73","No","1.36","Yes",,,"0.00","12,447.57","0.00","12,447.57",,"No","No","No",,,,,,,"0.00",,"GO FRESH","No","No","No","0.00","USD 0.00","0","12939",,
"Delivered","Yes","2542C","12/28/2022","Chiovitti Banana Co., Ltd","2542","624","Naomi Bendayan","USD 16518.24","01/02/2023","Equifruit, Inc.","22,514.36","0.00","0.00","Marie Lamare",,"24,954.92","1,322.18","01/04/2023","Net 30",,,"United States Dollar","26 Magnificent Road, Toronto, ON M8Z 4T3. Canada","26 Magnificent Road, Toronto, ON M8Z 4T3. Canada","5311, boulevard de Maisonneuve ouest
Suite 304, Montréal, QC H4A 1Z5. Canada",,,"No","Unknown","0.73","No","1.36","Yes",,,"0.00","22,514.36","0.00","22,514.36",,"No","No","No",,,,,,,"0.00",,"Chiovitti Banana Co., Ltd","No","No","No","0.00","USD 0.00","0","230104",,
"Delivered","Yes","2544","12/28/2022","Sobeys BCH","2544","960","Naomi Bendayan","CAD 34780.80","01/02/2023","Equifruit, Inc.","34,780.80","0.00","0.00","Marie Lamare",,"38,392.18","2,034.12","01/04/2023","Net 30",,,"Canadian Dollar","Montreal, QC H1G 3J5. Canada","1500 Bd de Montarville, Boucherville, QC J4B 5Y3. Canada","5311, boulevard de Maisonneuve ouest
Suite 304, Montréal, QC H4A 1Z5. Canada",,,"No","Unknown","1.00","No","1.00","Yes",,,"0.00","34,780.80","0.00","34,780.80",,"No","No","No",,,,,,,"0.00",,"Sobeys BCH","No","No","No","0.00","CAD 0.00","0","4566068115",,
"Delivered","Yes","2535","12/28/2022","Chiovitti Banana Co., Ltd","2535","960","Naomi Bendayan","USD 23145.60","12/31/2022","Equifruit, Inc.","31,547.45","0.00","0.00","Marie Lamare",,"38,392.18","2,034.12","01/03/2023","Net 30",,,"United States Dollar","26 Magnificent Road, Toronto, ON M8Z 4T3. Canada","26 Magnificent Road, Toronto, ON M8Z 4T3. Canada","5311, boulevard de Maisonneuve ouest
Suite 304, Montréal, QC H4A 1Z5. Canada",,,"No","Unknown","0.73","No","1.36","Yes",,,"0.00","31,547.45","0.00","31,547.45",,"No","No","No",,,,,,,"0.00",,"Chiovitti Banana Co., Ltd","No","No","No","0.00","USD 0.00","0","226483",,
"Delivered","Yes","2538","12/28/2022","Sobeys Whitby","2538","960","Naomi Bendayan","CAD 35222.40","12/30/2022","Equifruit, Inc.","35,222.40","0.00","0.00","Marie Lamare",,"38,392.18","2,034.12","01/03/2023","Net 30",,,"Canadian Dollar",,"100 Nordeagle Ave, Whitby, ON L1N 0B6. Canada","5311, boulevard de Maisonneuve ouest
Suite 304, Montréal, QC H4A 1Z5. Canada",,,"No","Unknown","1.00","No","1.00","Yes",,,"0.00","35,222.40","0.00","35,222.40",,"No","No","No",,,,,,,"0.00",,"Sobeys Whitby","No","No","No","0.00","CAD 0.00","0","4541700775",,
"Delivered","Yes","2540","12/28/2022","Costco Vaughan Wet","2540","900","Naomi Bendayan","USD 25686.00","12/29/2022","Equifruit, Inc.","35,010.02","0.00","0.00","Marie Lamare",,"35,992.67","1,906.99","01/03/2023","Net 30",,,"United States Dollar","100 Line Drive, Vaughan, ON L4H 4M2. Canada","100 Line Drive, Vaughan, ON L4H 4M2. Canada","5311, boulevard de Maisonneuve ouest
Suite 304, Montréal, QC H4A 1Z5. Canada",,,"No","Unknown","0.73","No","1.36","Yes",,,"0.00","35,010.02","0.00","35,010.02",,"No","No","No",,,,,,,"0.00",,"Costco Vaughan Wet","No","No","No","0.00","USD 0.00","0","226480",,
"Delivered","Yes","2536G","12/28/2022","GO FRESH","2536","240","Naomi Bendayan","USD 6523.20","12/29/2022","Equifruit, Inc.","8,891.12","0.00","0.00","Marie Lamare",,"9,598.05","508.53","01/03/2023","Net 30",,,"United States Dollar","247-165 the Queensway, Toronto, ON M8Y 1H8. Canada","302 Dwight Avenue, Toronto, ON M8W 2W7. Canada","5311, boulevard de Maisonneuve ouest
Suite 304, Montréal, QC H4A 1Z5. Canada",,,"No","Unknown","0.73","No","1.36","Yes",,,"0.00","8,891.12","0.00","8,891.12",,"No","No","No",,,,,,,"0.00",,"GO FRESH","No","No","No","0.00","USD 0.00","0","12759",,
"Delivered","Yes","2536C","12/28/2022","Chiovitti Banana Co., Ltd","2536","720","Naomi Bendayan","USD 17801.28","12/29/2022","Equifruit, Inc.","24,263.14","0.00","0.00","Marie Lamare",,"28,794.14","1,525.59","01/03/2023","Net 30",,,"United States Dollar","26 Magnificent Road, Toronto, ON M8Z 4T3. Canada","26 Magnificent Road, Toronto, ON M8Z 4T3. Canada","5311, boulevard de Maisonneuve ouest
Suite 304, Montréal, QC H4A 1Z5. Canada",,,"No","Unknown","0.73","No","1.36","Yes",,,"0.00","24,263.14","0.00","24,263.14",,"No","No","No",,,,,,,"0.00",,"Chiovitti Banana Co., Ltd","No","No","No","0.00","USD 0.00","0","228481",,
"Delivered","Yes","2530","12/20/2022","Chiovitti Banana Co., Ltd","2530","960","Naomi Bendayan","USD 23145.60","12/28/2022","Equifruit, Inc.","31,547.45","0.00","0.00","Marie Lamare",,"38,392.18","2,034.12","01/03/2023","Net 30",,,"United States Dollar","26 Magnificent Road, Toronto, ON M8Z 4T3. Canada","26 Magnificent Road, Toronto, ON M8Z 4T3. Canada","5311, boulevard de Maisonneuve ouest
Suite 304, Montréal, QC H4A 1Z5. Canada",,,"No","Unknown","0.73","No","1.36","Yes",,,"0.00","31,547.45","0.00","31,547.45",,"No","No","No",,,,,,,"0.00",,"Chiovitti Banana Co., Ltd","No","No","No","0.00","USD 0.00","0","226479",,
"Delivered","Yes","2531G","12/20/2022","GO FRESH","2531","336","Naomi Bendayan","USD 9132.48","12/26/2022","Equifruit, Inc.","12,447.57","0.00","0.00","Marie Lamare",,"13,437.26","711.94","01/03/2023","Net 30",,,"United States Dollar","247-165 the Queensway, Toronto, ON M8Y 1H8. Canada","302 Dwight Avenue, Toronto, ON M8W 2W7. Canada","5311, boulevard de Maisonneuve ouest
Suite 304, Montréal, QC H4A 1Z5. Canada",,,"No","Unknown","0.73","No","1.36","Yes",,,"0.00","12,447.57","0.00","12,447.57",,"No","No","No",,,,,,,"0.00",,"GO FRESH","No","No","No","0.00","USD 0.00","0","12758",,
"Delivered","Yes","2531C","12/20/2022","Chiovitti Banana Co., Ltd","2531","624","Naomi Bendayan","USD 16518.24","12/26/2022","Equifruit, Inc.","22,514.36","0.00","0.00","Marie Lamare",,"24,954.92","1,322.18","01/03/2023","Net 30",,,"United States Dollar","26 Magnificent Road, Toronto, ON M8Z 4T3. Canada","26 Magnificent Road, Toronto, ON M8Z 4T3. Canada","5311, boulevard de Maisonneuve ouest
Suite 304, Montréal, QC H4A 1Z5. Canada",,,"No","Unknown","0.73","No","1.36","Yes",,,"0.00","22,514.36","0.00","22,514.36",,"No","No","No",,,,,,,"0.00",,"Chiovitti Banana Co., Ltd","No","No","No","0.00","USD 0.00","0","226478",,
