job,status,purchase_order_container#,pieces,contained_item,purchase_order_harvest_date,departure_date,arrival_date,description,model,item_definition_categories,part_number,purchase_order_pallets,unitary_value,length_in,height_in,width_in,weight_lb,volume_ft³,piece_weight_lb,piece_volume_ft³
4574,On Hand,MNBU0537591,900,Yes,NaN,12/28/2024,01/13/2025,Banano Cavendish Organico Fairtrade 3lb con Banda Costco,Organic Banana,NaN,007ECLAT,Walk Global/Escobar,20.32,15.75,9.06,24.02,"35,992.67","1,906.99",39.99,2.12
4573,On Hand,MNBU3982076,900,Yes,NaN,12/28/2024,01/13/2025,Banano Cavendish Organico Fairtrade 3lb con Banda Costco,Organic banana,NaN,007ECHCM,Walk Global/Escobar,20.51,15.75,9.06,24.02,0.00,"1,908.00",0.0,2.12
4571,On Hand,MNBU3774690,900,Yes,NaN,12/28/2024,01/13/2025,Banano Cavendish Organico Fairtrade 3lb con Banda Costco,Organic banana,Costco,007ECELG,Walk Global/Escobar,20.48,15.75,9.06,24.02,"35,992.67","1,906.99",39.99,2.12
4570,On Hand,MNBU3512093,900,Yes,NaN,12/28/2024,01/13/2025,Banano Cavendish Organico Fairtrade 3lb con Banda Costco,Organic banana,Costco,007ECELG,Walk Global/Escobar,20.48,15.75,9.06,24.02,"35,992.67","1,906.99",39.99,2.12
4569,On Hand,MNBU3721318,900,Yes,NaN,12/28/2024,01/13/2025,Banano Cavendish Organico Fairtrade 3lb con Banda Costco,Organic banana,Costco,007ECELG,Walk Global/Escobar,20.48,15.75,9.06,24.02,"35,992.67","1,906.99",39.99,2.12
4568,On Hand,MNBU0059276,900,Yes,NaN,12/28/2024,01/13/2025,Banano Cavendish Organico Fairtrade 3lb con Banda Costco,Organic banana,NaN,007ECPRI,Walk Global/Escobar,20.32,15.75,9.06,24.02,"35,991.00","1,908.00",39.99,2.12
4558,On Hand,ZMOU8833713,900,Yes,NaN,12/29/2024,01/10/2025,Banano Cavendish Organico Fairtrade 3lb con Banda Costco,Organic banana,NaN,007ECSUR,Walk Global/Escobar,20.78,15.75,9.06,24.02,"35,992.67","1,906.99",39.99,2.12
4557,On Hand,MNBU4180033,900,Yes,NaN,12/28/2024,01/13/2025,Banano Cavendish Organico Fairtrade 3lb con Banda Costco,Organic banana,NaN,007ECSUR,Walk Global/Escobar,20.32,15.75,9.06,24.02,"35,992.67","1,906.99",39.99,2.12
4559,On Hand,TRIU8197959,900,Yes,NaN,12/22/2024,01/03/2025,Banano Cavendish Organico Fairtrade 3lb con Banda Costco,Organic banana,NaN,007ECMAR,Walk Global/Escobar,20.13,15.75,9.06,24.02,"35,992.67","1,906.99",39.99,2.12
4554,On Hand,SUDU9010673,900,Yes,NaN,12/28/2024,01/13/2025,Banano Cavendish Organico Fairtrade 3lb con Banda Costco,Organic banana,NaN,007ECMAR,Walk Global/Escobar,20.13,15.75,9.06,24.02,"35,992.67","1,906.99",39.99,2.12
4553,On Hand,MNBU0528753,900,Yes,NaN,12/28/2024,01/13/2025,Banano Cavendish Organico Fairtrade 3lb con Banda Costco,Organic banana,NaN,007ECMAR,Walk Global/Escobar,20.13,15.75,9.06,24.02,"35,992.67","1,906.99",39.99,2.12
4552,On Hand,MNBU4006248,900,Yes,NaN,12/28/2024,01/13/2025,Banano Cavendish Organico Fairtrade 3lb con Banda Costco,Organic banana,NaN,007ECMAR,Walk Global/Escobar,20.13,15.75,9.06,24.02,"35,992.67","1,906.99",39.99,2.12
4567,Ordered,NaN,900,No,NaN,NaN,NaN,Banano Cavendish Organico Fairtrade 3lb con Banda Costco,Organic banana,NaN,007MXCOL,Chep,25.31,15.75,9.06,24.02,"35,992.67","1,906.99",39.99,2.12
4566,Ordered,NaN,900,No,NaN,NaN,NaN,Banano Cavendish Organico Fairtrade 3lb con Banda Costco,Organic banana,NaN,007MXCOL,Chep,25.31,15.75,9.06,24.02,"35,992.67","1,906.99",39.99,2.12
4565,On Hand,NaN,45,Yes,NaN,01/09/2025,01/13/2025,Banano Cavendish Organico Fairtrade 3lb con Banda Costco,Organic banana,NaN,007MXCOL,Chep,27.46,15.75,9.06,24.02,"1,799.63",95.35,39.99,2.12
4544,On Hand,MNBU0250940,960,Yes,NaN,12/24/2024,01/06/2025,Banano Cavendish Organico Fairtrade con banda,Organic banana,Organic,001PEAPP,Chep,20.12,15.75,9.06,24.02,"38,392.18","2,034.12",39.99,2.12
4551,On Hand,MMAU1093213,900,Yes,NaN,12/21/2024,01/06/2025,Banano Cavendish Organico Fairtrade 3lb con Banda Costco,Organic Banana,NaN,007ECLAT,Walk Global/Escobar,20.05,15.75,9.06,24.02,"35,992.67","1,906.99",39.99,2.12
4549,On Hand,MNBU0224920,900,Yes,NaN,12/21/2024,01/06/2025,Banano Cavendish Organico Fairtrade 3lb con Banda Costco,Organic banana,NaN,007ECHCM,Walk Global/Escobar,20.24,15.75,9.06,24.02,0.00,"1,908.00",0.0,2.12
4556,On Hand,MNBU4284151,960,Yes,NaN,12/21/2024,01/06/2025,Banano Cavendish Organico Fairtrade con banda,Organic banana,Organic,001ECELG,Tipo CHEP,20.05,15.75,9.06,24.02,"38,392.18","2,034.12",39.99,2.12
4555,On Hand,MNBU3701477,960,Yes,NaN,12/21/2024,01/06/2025,Banano Cavendish Organico Fairtrade con banda,Organic banana,Organic,001ECELG,Tipo CHEP,20.05,15.75,9.06,24.02,"38,392.18","2,034.12",39.99,2.12
4548,On Hand,MMAU1075056,900,Yes,NaN,12/21/2024,01/06/2025,Banano Cavendish Organico Fairtrade 3lb con Banda Costco,Organic banana,Costco,007ECELG,Walk Global/Escobar,20.14,15.75,9.06,24.02,"35,992.67","1,906.99",39.99,2.12
4547,On Hand,MNBU3477325,900,Yes,NaN,12/21/2024,01/06/2025,Banano Cavendish Organico Fairtrade 3lb con Banda Costco,Organic banana,Costco,007ECELG,Walk Global/Escobar,20.16,15.75,9.06,24.02,"35,992.67","1,906.99",39.99,2.12
4546,On Hand,MNBU0601134,900,Yes,NaN,12/21/2024,01/06/2025,Banano Cavendish Organico Fairtrade 3lb con Banda Costco,Organic banana,Costco,007ECELG,Walk Global/Escobar,20.16,15.75,9.06,24.02,"35,992.67","1,906.99",39.99,2.12
4535,On Hand,MNBU3180189,900,Yes,NaN,12/21/2024,01/06/2025,Banano Cavendish Organico Fairtrade 3lb con Banda Costco,Organic banana,NaN,007ECPRI,Walk Global/Escobar,20.05,15.75,9.06,24.02,"35,991.00","1,908.00",39.99,2.12
4523,On Hand,IKSU5200800,960,Yes,NaN,12/21/2024,01/01/2025,Banano Cavendish Organico Fairtrade con banda,Organic banana,NaN,001ECMAR,Walk Global/Escobar,19.77,0.0,0.0,0.0,"38,390.40",0.00,39.99,0.0
4534,On Hand,OTPU6050205,900,Yes,NaN,12/21/2024,01/01/2025,Banano Cavendish Organico Fairtrade 3lb con Banda Costco,Organic banana,NaN,007ECMAR,Walk Global/Escobar,19.98,15.75,9.06,24.02,"35,992.67","1,906.99",39.99,2.12
4515,On Hand,MWCU6836708,960,Yes,NaN,12/14/2024,12/29/2024,Banano Cavendish Organico Fairtrade con banda,Organic banana,Organic,001PEAPP,Chep,19.95,15.75,9.06,24.02,"38,392.18","2,034.12",39.99,2.12
4525,On Hand,MNBU3352117,900,Yes,NaN,12/14/2024,12/29/2024,Banano Cavendish Organico Fairtrade 3lb con Banda Costco,Organic banana,NaN,007ECHCM,Walk Global/Escobar,20.06,15.75,9.06,24.02,0.00,"1,908.00",0.0,2.12
4529,On Hand,MCAU5009849,960,Yes,NaN,12/14/2024,12/29/2024,Banano Cavendish Convencional Fairtrade con etiqueta,Convencional banana,Conventional,004ECELG,Tipo CHEP,15.37,15.75,9.06,24.02,"38,392.18","2,034.12",39.99,2.12
4520,On Hand,MNBU3731342,768,Yes,NaN,12/14/2024,12/29/2024,Banano Cavendish Organico Fairtrade con banda,Organic banana,Organic,001ECELG,Tipo CHEP,19.88,15.75,9.06,24.02,"30,713.74","1,627.30",39.99,2.12
4520,On Hand,MNBU3731342,192,Yes,NaN,12/14/2024,12/29/2024,Banano Cavendish Convencional Fairtrade con etiqueta,Convencional banana,Conventional,004ECELG,Tipo CHEP,15.37,15.75,9.06,24.02,"7,678.44",406.82,39.99,2.12
4522,On Hand,MNBU4484519,960,Yes,NaN,12/14/2024,12/29/2024,Banano Cavendish Organico Fairtrade con banda,Organic banana,Organic,001ECELG,Tipo CHEP,19.88,15.75,9.06,24.02,"38,392.18","2,034.12",39.99,2.12
4524,On Hand,MNBU3829703,900,Yes,NaN,12/14/2024,12/29/2024,Banano Cavendish Organico Fairtrade 3lb con Banda Costco,Organic banana,Costco,007ECELG,Walk Global/Escobar,19.98,15.75,9.06,24.02,"35,992.67","1,906.99",39.99,2.12
4519,On Hand,MNBU4279453,900,Yes,NaN,12/14/2024,12/29/2024,Banano Cavendish Organico Fairtrade 3lb con Banda Costco,Organic banana,Costco,007ECELG,Walk Global/Escobar,19.98,15.75,9.06,24.02,"35,992.67","1,906.99",39.99,2.12
4518,On Hand,MNBU0647393,900,Yes,NaN,12/14/2024,12/29/2024,Banano Cavendish Organico Fairtrade 3lb con Banda Costco,Organic banana,Costco,007ECELG,Walk Global/Escobar,19.98,15.75,9.06,24.02,"35,992.67","1,906.99",39.99,2.12
4516,On Hand,MNBU3072287,900,Yes,NaN,12/14/2024,12/29/2024,Banano Cavendish Organico Fairtrade 3lb con Banda Costco,Organic banana,NaN,007ECPRI,Walk Global/Escobar,19.88,15.75,9.06,24.02,"35,991.00","1,908.00",39.99,2.12
4508,On Hand,MWCU5235488,960,Yes,NaN,12/14/2024,12/29/2024,Banano Cavendish Organico Fairtrade con banda,Organic banana,NaN,001ECMAR,Tipo CHEP,19.61,0.0,0.0,0.0,"38,390.40",0.00,39.99,0.0
4507,On Hand,MNBU3629161,900,Yes,NaN,12/14/2024,01/06/2025,Banano Cavendish Organico Fairtrade 3lb con Banda Costco,Organic banana,NaN,007ECMAR,Walk Global/Escobar,19.82,15.75,9.06,24.02,"35,992.67","1,906.99",39.99,2.12
3920,Ordered,NaN,900,No,NaN,NaN,NaN,Banano Cavendish Organico Fairtrade 3lb con Banda Costco,Organic banana,NaN,007MXCOL,Chep,24.54,15.75,9.06,24.02,"35,992.67","1,906.99",39.99,2.12
3944,Ordered,NaN,900,No,NaN,NaN,NaN,Banano Cavendish Organico Fairtrade 3lb con Banda Costco,Organic banana,NaN,007MXCOL,Chep,24.54,15.75,9.06,24.02,"35,992.67","1,906.99",39.99,2.12
3942,Ordered,NaN,900,No,NaN,NaN,NaN,Banano Cavendish Organico Fairtrade 3lb con Banda Costco,Organic banana,NaN,007MXCOL,Chep,24.54,15.75,9.06,24.02,"35,992.67","1,906.99",39.99,2.12
3677,On Hand,MNBU3113299,960,Yes,08-27-2024,08/30/2024,09/09/2024,Banano Cavendish Convencional Fairtrade con etiqueta,Convencional banana,Conventional,004NICOQ,Standard Americano,13.97,15.75,9.06,24.02,"38,392.18","2,034.12",39.99,2.12
3618,On Hand,ZMOU8896429,672,Yes,08-06-2024,08/11/2024,08/21/2024,Banano Cavendish Organico Fairtrade con banda,Organic banana,NaN,001ECMAR,Tipo CHEP,19.25,0.0,0.0,0.0,"26,873.28",0.00,39.99,0.0
3618,On Hand,ZMOU8896429,288,Yes,08-06-2024,08/11/2024,08/21/2024,Banano Cavendish Organico Fairtrade con banda,Organic banana,NaN,001ECMAR,Tipo CHEP,19.25,0.0,0.0,0.0,"11,517.12",0.00,39.99,0.0
3473,In Transit,MNBU4014367,960,Yes,06-25-2024,06/29/2024,07/08/2024,Banano Cavendish Convencional Fairtrade con etiqueta,Convencional banana,Conventional,004NICOQ,Standard Americano,13.94,15.75,9.06,24.02,"38,392.18","2,034.12",39.99,2.12
4386,Ordered,NaN,900,No,NaN,NaN,NaN,Banano Cavendish Organico Fairtrade 3lb con Banda Costco,Organic banana,NaN,007ECMAR,Walk Global/Escobar,19.32,15.75,9.06,24.02,"35,992.67","1,906.99",39.99,2.12
4291,Ordered,NaN,900,No,NaN,NaN,NaN,Banano Cavendish Organico Fairtrade 3lb con Banda Costco,Organic banana,NaN,007MXCOL,Chep,24.18,15.75,9.06,24.02,"35,992.67","1,906.99",39.99,2.12
6001,On Hand,NaN,1,Yes,NaN,03/26/2024,04/05/2024,Banano Cavendish Organico Fairtrade con banda,Organic banana,Organic,001COCIA,NaN,19.18,15.75,9.06,24.02,39.99,2.12,39.99,2.12
4012,On Hand,CGMU9320420,900,Yes,09-27-2023,09/29/2023,10/10/2023,Banano Cavendish Organico Fairtrade 3lb con Banda Costco,Organic banana,NaN,007ECSUR,NaN,19.99,15.75,9.06,24.02,"35,992.67","1,906.99",39.99,2.12
2968,On Hand,MNBU0083436,384,Yes,07-14-2023,07/17/2023,07/31/2023,Banano Cavendish Organico Fairtrade con banda,Organic banana,Organic,001ECELG,Chep,18.8,15.75,9.06,24.02,"15,356.87",813.65,39.99,2.12
2932,On Hand,CAIU5470591,900,Yes,07-04-2023,07/08/2023,07/19/2023,Banano Cavendish Organico Fairtrade 3lb con Banda Costco,Organic banana,NaN,007ECMAR,Walk Global/Escobar,18.82,15.75,9.06,24.02,0.00,"1,908.00",0.0,2.12
