Type,Code,Description,Account Name,Amount,Currency,COS Charge?
Other,,Recette subvention gouvernement,Recette subvention gouvernement,0.00,Canadian Dollar,No
Other,,Radiation d'ajustement,Radiation d'ajustement,0.00,Canadian Dollar,No
Other,,PSC,Operating Expenses,0.00,Canadian Dollar,No
Other,,Professional Development,Professional Development,0.00,Canadian Dollar,No
Other,PRIMSOC,Prime sociale,Prime sociale,1.00,United States Dollar,Yes
Other,,POS,POS,0.00,Canadian Dollar,No
Other,,Pertes sur ventes,Pertes sur ventes,0.00,Canadian Dollar,No
Other,PERTACH,Pertes sur achats,Pertes sur achats,0.00,Canadian Dollar,No
Other,,Perte sur disposition d'actifs,Perte sur disposition d'actifs,0.00,Canadian Dollar,No
Other,,Personnel supplémentaire,Personnel supplémentaire,0.00,Canadian Dollar,No
Other,,Outils de vente Dév. affaires,Outils de vente Dév. affaires,0.00,Canadian Dollar,No
Other,,Murissage,Murissage,0.00,Canadian Dollar,No
Other,,Mobilier pour le bureau,Mobilier pour le bureau,0.00,Canadian Dollar,No
Other,,Mauvaises créances,Mauvaises créances,0.00,Canadian Dollar,No
Other,,Marketing Activations promo clients,Marketing Activations promo clients,0.00,Canadian Dollar,No
Other,,Marketing Activations,Marketing Activations,0.00,Canadian Dollar,No
Other,MANPORT,Manutention port,Manutention port,745.00,United States Dollar,No
Other,,Manutention Courchesne Larose,Manutention Courchesne Larose,0.00,Canadian Dollar,No
Other,,Loyer,Loyer,0.00,Canadian Dollar,No
Other,LIVRCLI,Livraison au client,Livraison au client,"1,450.00",United States Dollar,No
Other,,Itrade,Itrade,0.00,Canadian Dollar,No
Other,,Inventaires,Inventaires,0.00,Canadian Dollar,No
Other,,Intérêts marge de crédit,Intérêts marge de crédit,0.00,Canadian Dollar,No
Other,,Intérêts et pénalités sur impôt,Intérêts et pénalités sur impôt,0.00,Canadian Dollar,No
Other,,Intérêts dette à long terme,Intérêts dette à long terme,0.00,Canadian Dollar,No
Other,,Inspections douanières,Inspections douanières,0.00,Canadian Dollar,No
Other,,Inspection locale,Inspection locale,0.00,Canadian Dollar,No
Other,,Impôts exigibles,Impôts exigibles,0.00,Canadian Dollar,No
Other,,Impôt provincial de l'exercice,Impôt provincial de l'exercice,0.00,Canadian Dollar,No
Other,,Impôt fédéral de l'exercice,Impôt fédéral de l'exercice,0.00,Canadian Dollar,No
Other,,Honoraires Dév.affaires,Honoraires Dév.affaires,0.00,Canadian Dollar,No
Other,HONCON,Honoraires consultants qualité,Honoraires consultants qualité,0.00,Canadian Dollar,No
Other,HONPROFESSIONNELS,Honoraires Professionnels,Honoraires professionnels,0.00,Canadian Dollar,No
Other,,Hébergement Dév.fournisseurs,Hébergement Dév. fournisseurs,0.00,Canadian Dollar,No
Other,,Hébergement Dév. affaires,Hébergement Dév. affaires,0.00,Canadian Dollar,No
Other,,General Publicity,General Publicity,0.00,Canadian Dollar,No
Other,PRICOST,Printing cost,Printing cost,0.00,Canadian Dollar,No
Other,TARADVERTISING,Retail Activation Canada,Retail Activation Canada,0.00,Canadian Dollar,No
Other,,Gains/Pertes sur transferts,Gains/Pertes sur transferts,0.00,Canadian Dollar,No
Other,,Gains/Pertes Firma,Gains/Pertes Firma,0.00,Canadian Dollar,No
Other,,Gains/Pertes de change réalisés,Gains/Pertes de change réalisés,0.00,Canadian Dollar,No
Other,,Frais Stripe Tedy,Frais Stripe Tedy,0.00,Canadian Dollar,No
Other,,Frais square,Frais square,0.00,Canadian Dollar,No
Other,FRAMARCREDIT,Frais marge crédit,Frais marge crédit,0.00,Canadian Dollar,No
Other,,Frais mensuel Tedy,Frais mensuel Tedy,0.00,Canadian Dollar,No
Other,,Frais légaux et réglementaires,Frais légaux et réglementaires,0.00,Canadian Dollar,No
Other,,Frais informatique,Frais informatiques,0.00,Canadian Dollar,No
Other,,Frais généraux d'administration,Frais généraux d'administration,0.00,Canadian Dollar,No
Other,,Frais envoi doc,Frais envoi doc,0.00,Canadian Dollar,No
Other,,Frais de voyage Dev.affaires,Frais de voyage Dev.affaires,0.00,Canadian Dollar,No
Other,,Frais de voyage Dév. fournisseurs,Frais de voyage Dév. fournisseurs,0.00,Canadian Dollar,No
Other,,Frais de Service Firma,Frais de Service Firma,0.00,Canadian Dollar,No
Other,,Frais de service Ceridian,Frais de service Ceridian,0.00,Canadian Dollar,No
Other,MEAMARKETING,Meal Marketing,Meal Marketing,0.00,Canadian Dollar,No
Other,FRADEREPINTERNES,Frais de repas internes,Frais de repas internes,0.00,Canadian Dollar,No
Other,,Frais de Marketing,Advertising and Promotion,0.00,Canadian Dollar,No
Other,FRAISLICENCE,Frais de licence,Frais de licence CA,0.02,Canadian Dollar,No
Other,TRASHOWS,Trade Show Canada,Trade Show Canada,0.00,Canadian Dollar,No
Other,QUALITE,Gestion des opérations,Gestion des opérations,0.00,Canadian Dollar,No
Other,,Frais de développement des affaires,Frais de développement des affaires,0.00,Canadian Dollar,No
Other,DESANDPACKAGING,Design and Packaging,Design and Packaging,0.00,Canadian Dollar,No
Other,TRAMARKETING,Travel Marketing,Travel Marketing,0.00,Canadian Dollar,No
Other,FRADEDEPINTERNES,Frais de deplacements internes,Frais de déplacements internes,0.00,Canadian Dollar,No
Other,,Frais de carte de crédit,Frais de carte de crédit,0.00,Canadian Dollar,No
Other,,Frais booking Perou,Frais booking Perou,0.00,Canadian Dollar,No
Other,,Frais bancaires,Frais bancaires,0.00,Canadian Dollar,No
Other,FRAISSOBEYS,Frais annexes Sobeys,Frais annexes Sobeys,94.00,Canadian Dollar,No
Other,FRAISQUALITE,Frais qualité - origine,Frais qualité - origine,96.00,United States Dollar,No
Other,,Fournitures et papeterie,Fournitures et papeterie,0.00,Canadian Dollar,No
Other,,Formation cours/livres,Formation cours/livres,0.00,Canadian Dollar,No
Other,,Food safety,Food safety,0.00,Canadian Dollar,No
Other,,Évènements Dév. fournisseurs,Evènements Dév. fournisseurs,0.00,Canadian Dollar,No
Other,,Évènements Dév. affaires,Evènements Dév. affaires,0.00,Canadian Dollar,No
Other,,Études de marché et data,Etudes de marché et data,0.00,Canadian Dollar,No
Other,ESCSURVENTES,Escompte sur ventes,Escompte sur ventes,0.00,Canadian Dollar,No
Other,,EQ Care,EQ Care,0.00,Canadian Dollar,No
Other,,Education Dév. Affaires,Education Dév. Affaires,0.00,Canadian Dollar,No
Other,,Écart des prix de stock,Ecart des prix de stock,0.00,Canadian Dollar,No
Other,,Dump,Dump,0.00,Canadian Dollar,No
Other,,Dons,Dons,0.00,Canadian Dollar,No
Other,,Detention,Detention,0.00,Canadian Dollar,No
Other,SOURHETRECRUTEMENT,Soutien RH et recrutement,Soutien RH et recrutement,0.00,Canadian Dollar,No
Other,OTHMARKETING,Other Marketing,Other Marketing,0.00,Canadian Dollar,No
Other,,Depenses développement fournisseurs,Dépenses développement fournisseurs,0.00,Canadian Dollar,No
Other,,Dépenses Dév. Affaires,Dépenses développement affaires,0.00,Canadian Dollar,No
Other,,Demurrage,Demurrage,0.00,Canadian Dollar,No
Other,,Customers gifts,Customers gifts,0.00,Canadian Dollar,No
Other,,Credit producteur,Credit producteur,0.00,Canadian Dollar,No
Other,,Coûts de transfert,Coûts de transfert,0.00,Canadian Dollar,No
Other,,Coûts de l'assemblage des articles,Coûts de l'assemblage des articles,0.00,Canadian Dollar,No
Other,,Coût total des marchandises vendues,Coût total des marchandises vendues,0.00,Canadian Dollar,No
Other,,Coût des marchandises vendues,Purchases and Supplies,0.00,Canadian Dollar,No
Other,USCLEARANCE,US Clearance,US Clearance,0.00,Canadian Dollar,No
Other,,Courrier & frais postaux,Courrier & frais postaux,0.00,Canadian Dollar,No
Other,,Cotisations équitables,Cotisations équitables,0.00,Canadian Dollar,No
Other,,Cotisations bio,Cotisations bio,0.00,Canadian Dollar,No
Other,,Cotisations autres,Cotisations autres,0.00,Canadian Dollar,No
Other,COMSPOCANADA,Community Sponsorships Canada,Community Sponsorships Canada,0.00,Canadian Dollar,No
Other,,Charges salariales,Salaires et charges sociales,0.00,Canadian Dollar,No
Other,,Charge Invalidité longue durée,Charge Invalidité longue durée marketing,0.00,Canadian Dollar,No
Other,,Charge du RRQ - administration,Charge du RRQ - administration,0.00,Canadian Dollar,No
Other,,Charge du RRQ,Charge du RRQ marketing,0.00,Canadian Dollar,No
Other,,Charge du RRC,Charge du RRC marketing,0.00,Canadian Dollar,No
Other,,Charge du RQAP - administration,Charge du RQAP - administration,0.00,Canadian Dollar,No
Other,,Charge du RQAP,Charge du RQAP marketing,0.00,Canadian Dollar,No
Other,,Charge du RPDB,Charge du RPDB markieting,0.00,Canadian Dollar,No
Other,,Charge du RPC - administration,Charge du RPC - administration,0.00,Canadian Dollar,No
Other,,Charge du REER Patronale - admin,Charge du REER Patronale - admin,0.00,Canadian Dollar,No
Other,,Charge du FSSQ - administration,Charge du FSSQ - administration,0.00,Canadian Dollar,No
