Number,Entity,Transaction Date,Employee,Account Name,Bank Account,Reconciliation Date,Amount,AR Amount (CAD),Amount (CAD),Tax Amount,Withholding Tax Amount,Currency,Exchange Rate,Reverse Exchange Rate,Is Printed,Realized Amount (CAD),Gain/Loss (CAD),Attachments
 00020822172025,Costco Varennes,12/11/2024,Vasty Santamaria,Comptes clients USD,Comptant USD RBC,,"USD 24,093.00","33,609.74","34,260.25",USD 0.00,USD 0.00,United States Dollar,0.7,1.42,No,"34,260.25",-650.51,No
 00020822172025,Costco Vaughan Wet,12/11/2024,Vasty Santamaria,Comptes clients USD,Comptant USD RBC,,"USD 24,093.00","33,609.74","34,260.25",USD 0.00,USD 0.00,United States Dollar,0.7,1.42,No,"34,260.25",-650.51,No
22169,"Chiovitti Banana Co., Ltd",12/11/2024,Vasty Santamaria,Comptes clients USD,Comptant USD RBC,,"USD 112,387.20","157,910.42","159,814.60",USD 0.00,USD 0.00,United States Dollar,0.7,1.42,No,"159,814.60","-1,904.18",No
30410,Top Banana,12/10/2024,Vasty Santamaria,Comptes clients USD,Comptant USD RBC,,"USD 22,788.00","31,948.78","32,347.57",USD 0.00,USD 0.00,United States Dollar,0.7,1.42,No,"32,347.57",-398.79,No
00020664022025,Costco Varennes,12/09/2024,Vasty Santamaria,Comptes clients USD,Comptant USD RBC,,"USD 48,186.00","67,219.48","68,279.56",USD 0.00,USD 0.00,United States Dollar,0.71,1.42,No,"68,279.56","-1,060.08",No
00020664022025,Costco Vaughan Wet,12/09/2024,Vasty Santamaria,Comptes clients USD,Comptant USD RBC,,"USD 93,962.70","131,077.98","133,145.15",USD 0.00,USD 0.00,United States Dollar,0.71,1.42,No,"133,145.15","-2,067.17",No
00020664022025,COSTCO BRANTFORD,12/09/2024,Vasty Santamaria,Comptes clients USD,Comptant USD RBC,,"USD 2,409.30","3,360.97","3,413.98",USD 0.00,USD 0.00,United States Dollar,0.71,1.42,No,"3,413.98",-53.01,No
2000318189,Sobeys BCH,12/06/2024,Vasty Santamaria,Comptes clients USD,Comptant USD RBC,,"USD 32,000.64","44,592.90","45,088.90",USD 0.00,USD 0.00,United States Dollar,0.71,1.41,No,"45,088.90",-496.00,No
2000318189,Sobeys Quebec City,12/06/2024,Vasty Santamaria,Comptes clients USD,Comptant USD RBC,,"USD 13,714.56","19,111.24","19,323.82",USD 0.00,USD 0.00,United States Dollar,0.71,1.41,No,"19,323.82",-212.58,No
30380,Top Banana,12/06/2024,Vasty Santamaria,Comptes clients USD,Comptant USD RBC,,"USD 22,788.00","32,028.53","32,108.29",USD 0.00,USD 0.00,United States Dollar,0.71,1.41,No,"32,108.29",-79.76,No
00020558342025,Costco Vaughan Wet,12/06/2024,Karyne Manseau,Comptes clients USD,Comptant USD RBC,,"USD 24,156.00","33,770.84","34,059.96",USD 0.00,USD 0.00,United States Dollar,0.71,1.41,No,"34,059.96",-289.12,No
00020558342025,Costco Varennes,12/06/2024,Karyne Manseau,Comptes clients USD,Comptant USD RBC,,"USD 24,156.00","33,770.84","34,059.96",USD 0.00,USD 0.00,United States Dollar,0.71,1.41,No,"34,059.96",-289.12,No
00020489562025,Costco Vaughan Wet,12/05/2024,Karyne Manseau,Comptes clients USD,Comptant USD RBC,,"USD 24,156.00","33,674.47","34,059.96",USD 0.00,USD 0.00,United States Dollar,0.71,1.41,No,"34,059.96",-385.49,No
22111,"Chiovitti Banana Co., Ltd",12/04/2024,Karyne Manseau,Comptes clients USD,Comptant USD RBC,,"USD 174,339.55","243,802.68","245,818.77",USD 0.00,USD 0.00,United States Dollar,0.71,1.41,No,"245,818.77","-2,016.09",No
00567768,Courchesne Larose,12/04/2024,Karyne Manseau,Comptes clients USD,Comptant USD RBC,,"USD 49,286.40","68,631.31","69,493.82",USD 0.00,USD 0.00,United States Dollar,0.71,1.41,No,"69,493.82",-862.51,No
00020404712025,Costco Varennes,12/04/2024,Karyne Manseau,Comptes clients USD,Comptant USD RBC,,"USD 24,156.00","33,722.66","34,059.96",USD 0.00,USD 0.00,United States Dollar,0.71,1.41,No,"34,059.96",-337.30,No
00020404712025,Costco Vaughan Wet,12/04/2024,Karyne Manseau,Comptes clients USD,Comptant USD RBC,,"USD 48,312.00","67,445.32","68,119.92",USD 0.00,USD 0.00,United States Dollar,0.71,1.41,No,"68,119.92",-674.60,No
30333,Top Banana,12/03/2024,Vasty Santamaria,Comptes clients USD,Comptant USD RBC,,"USD 20,221.20","28,269.24","28,471.45",USD 0.00,USD 0.00,United States Dollar,0.71,1.41,No,"28,471.45",-202.21,No
2000310611,Sobeys BCH,12/03/2024,Vasty Santamaria,Comptes clients USD,Comptant USD RBC,,"USD 32,000.64","44,416.88","45,056.90",USD 0.00,USD 0.00,United States Dollar,0.71,1.41,No,"45,056.90",-640.02,No
2000310611,Sobeys Quebec City,12/03/2024,Vasty Santamaria,Comptes clients USD,Comptant USD RBC,,"USD 13,714.56","19,035.80","19,310.10",USD 0.00,USD 0.00,United States Dollar,0.71,1.41,No,"19,310.10",-274.30,No
00020252802025,Costco Vaughan Wet,12/02/2024,Karyne Manseau,Comptes clients USD,Comptant USD RBC,,"USD 96,624.00","134,961.90","135,853.34",USD 0.00,USD 0.00,United States Dollar,0.71,1.41,No,"135,853.34",-891.44,No
00020252802025,Costco Varennes,12/02/2024,Karyne Manseau,Comptes clients USD,Comptant USD RBC,,"USD 24,156.00","33,746.50","33,963.34",USD 0.00,USD 0.00,United States Dollar,0.71,1.41,No,"33,963.34",-216.84,No
589021,Charlies Seattle,12/02/2024,Karyne Manseau,Comptes clients USD,Comptant USD RBC,,"USD 20,217.60","27,293.76","28,425.95",USD 0.00,USD 0.00,United States Dollar,0.71,1.41,No,"28,425.95","-1,132.19",No
590447,Charlies Seattle,12/02/2024,Karyne Manseau,Comptes clients USD,Comptant USD RBC,,"USD 20,217.60","27,930.61","28,425.95",USD 0.00,USD 0.00,United States Dollar,0.71,1.41,No,"28,425.95",-495.34,No
589415,Charlies Seattle,12/02/2024,Karyne Manseau,Comptes clients USD,Comptant USD RBC,,"USD 40,435.20","55,183.94","56,851.89",USD 0.00,USD 0.00,United States Dollar,0.71,1.41,No,"56,851.89","-1,667.95",No
2000303974,Sobeys Quebec City,11/29/2024,Vasty Santamaria,Comptes clients USD,Comptant USD RBC,11/30/2024,"USD 6,857.28","9,504.19","9,661.91",USD 0.00,USD 0.00,United States Dollar,0.71,1.41,No,"9,661.91",-157.72,No
2000303974,Sobeys BCH,11/29/2024,Vasty Santamaria,Comptes clients USD,Comptant USD RBC,11/30/2024,"USD 16,000.32","22,176.44","22,544.45",USD 0.00,USD 0.00,United States Dollar,0.71,1.41,No,"22,544.45",-368.01,No
00020128842025,Costco Vaughan Wet,11/29/2024,Karyne Manseau,Comptes clients USD,Comptant USD RBC,11/30/2024,"USD 48,312.00","67,300.63","68,071.61",USD 0.00,USD 0.00,United States Dollar,0.71,1.41,No,"68,071.61",-770.98,No
00020128842025,Costco Varennes,11/29/2024,Karyne Manseau,Comptes clients USD,Comptant USD RBC,11/30/2024,"USD 24,156.00","33,698.51","34,035.80",USD 0.00,USD 0.00,United States Dollar,0.71,1.41,No,"34,035.80",-337.29,No
KPI01561,Krown Produce  Fresh At Its Best™,11/28/2024,Vasty Santamaria,Comptes clients USD,Comptant USD RBC,11/30/2024,"USD 112,275.00","156,710.43","158,195.48",USD 0.00,USD 0.00,United States Dollar,0.71,1.41,No,"158,195.48","-1,485.05",No
22041,"Chiovitti Banana Co., Ltd",11/27/2024,Vasty Santamaria,Comptes clients USD,Comptant USD RBC,11/30/2024,"USD 201,859.20","281,207.36","284,419.61",USD 0.00,USD 0.00,United States Dollar,0.71,1.41,No,"284,419.61","-3,212.25",No
00019992832025,Costco Vaughan Wet,11/27/2024,Karyne Manseau,Comptes clients USD,Comptant USD RBC,11/30/2024,"USD 24,156.00","33,638.27","34,035.80",USD 0.00,USD 0.00,United States Dollar,0.71,1.41,No,"34,035.80",-397.53,No
00019992832025,Costco Varennes,11/27/2024,Karyne Manseau,Comptes clients USD,Comptant USD RBC,11/30/2024,"USD 24,156.00","33,638.27","34,035.80",USD 0.00,USD 0.00,United States Dollar,0.71,1.41,No,"34,035.80",-397.53,No
00019834382025,Costco Varennes,11/25/2024,Karyne Manseau,Comptes clients USD,Comptant USD RBC,11/30/2024,"USD 48,312.00","67,058.75","67,709.27",USD 0.00,USD 0.00,United States Dollar,0.71,1.4,No,"67,709.27",-650.52,No
