Status,Number,Date,Shipper,Consignee,Pieces,Weight (lb),Volume (ft³),Employee,Destination Agent,Volume weight (Vlb),Chargeable Weight (lb),Value,Method,Destination Port,Destination Country,Origin Port,Origin Country,Modes of Transportation,Commodities Description,Issued By Address,Destination Agent Address,Shipper Address,Consignee Address,Pieces On Hand,Weight On Hand (lb),Volume On Hand (ft³),Volume Weight On Hand (Vlb),Value On Hand,Has Understock,Understock Pieces
Delivered,3603,07/30/2024,ASOGUABO,United Safety Agents,1,"3,747.86","2,359.59",Claudia Ramirez,DELAWARE AVENUE ENTERPRISES INC,"24,562.48","3,747.86","17,528.42",Ocean,Philadelphia,United States,Puerto Bolivar,Ecuador,"Vessel, Containerized",,"5311, boulevard de Maisonneuve ouest
Suite 304, Montréal, QC H4A 1Z5. Canada","3301 S. Columbus Boulevard, Philadelphia, PA 19148. United States","VIA PANAMERICANA SUR Y QUINTA OESTE, El Guabo, El Oro 070115. Ecuador",,0,0.00,0.00,0.00,0.00,No,0
Delivered,3612,07/30/2024,PRIECOR S.A.,United Safety Agents,1,"3,747.86","2,359.59",Claudia Ramirez,DELAWARE AVENUE ENTERPRISES INC,"24,562.48","3,747.86","17,512.20",Ocean,Philadelphia,United States,Puerto Bolivar,Ecuador,"Vessel, Containerized",,"5311, boulevard de Maisonneuve ouest
Suite 304, Montréal, QC H4A 1Z5. Canada","3301 S. Columbus Boulevard, Philadelphia, PA 19148. United States","Avenida 25 de Junio y Napoleón Mera. Edificio Contempo, Machala, Ecuador",,0,0.00,0.00,0.00,0.00,No,0
Delivered,3596,07/30/2024,Surgesa S.A.,United Safety Agents,1,"3,747.86","2,359.59",Claudia Ramirez,DELAWARE AVENUE ENTERPRISES INC,"24,562.48","3,747.86","18,051.46",Ocean,Philadelphia,United States,Guayaquil,Ecuador,"Vessel, Containerized",,"5311, boulevard de Maisonneuve ouest
Suite 304, Montréal, QC H4A 1Z5. Canada","3301 S. Columbus Boulevard, Philadelphia, PA 19148. United States","Luque #127, Pedro Carbo, Guayaquil 090307. Ecuador",,0,0.00,0.00,0.00,0.00,No,0
Delivered,3595,07/30/2024,Surgesa S.A.,United Safety Agents,1,"3,747.86","2,359.59",Claudia Ramirez,DELAWARE AVENUE ENTERPRISES INC,"24,562.48","3,747.86","18,051.46",Ocean,Philadelphia,United States,Guayaquil,Ecuador,"Vessel, Containerized",,"5311, boulevard de Maisonneuve ouest
Suite 304, Montréal, QC H4A 1Z5. Canada","3301 S. Columbus Boulevard, Philadelphia, PA 19148. United States","Luque #127, Pedro Carbo, Guayaquil 090307. Ecuador",,0,0.00,0.00,0.00,0.00,No,0
Delivered,3590,07/30/2024,Marplantis Organic Sustainable Agriculture,United Safety Agents,1,"3,747.86","2,359.59",Claudia Ramirez,DELAWARE AVENUE ENTERPRISES INC,"24,562.48","3,747.86","17,493.17",Ocean,Philadelphia,United States,Guayaquil,Ecuador,"Vessel, Containerized",,"5311, boulevard de Maisonneuve ouest
Suite 304, Montréal, QC H4A 1Z5. Canada","3301 S. Columbus Boulevard, Philadelphia, PA 19148. United States","DATILES 416 Y CALLE 6TA, GUAYAQUIL, GUAYAS Ecuador",,0,0.00,0.00,0.00,0.00,No,0
Delivered,3589,07/30/2024,Marplantis Organic Sustainable Agriculture,United Safety Agents,1,"3,747.86","2,359.59",Claudia Ramirez,DELAWARE AVENUE ENTERPRISES INC,"24,562.48","3,747.86","17,493.17",Ocean,Philadelphia,United States,Guayaquil,Ecuador,"Vessel, Containerized",,"5311, boulevard de Maisonneuve ouest
Suite 304, Montréal, QC H4A 1Z5. Canada","3301 S. Columbus Boulevard, Philadelphia, PA 19148. United States","DATILES 416 Y CALLE 6TA, GUAYAQUIL, GUAYAS Ecuador",,0,0.00,0.00,0.00,0.00,No,0
Delivered,3594,07/30/2024,APPBOSA,United Safety Agents,1,"3,747.86","2,359.59",Claudia Ramirez,DELAWARE AVENUE ENTERPRISES INC,"24,562.48","3,747.86","18,308.59",Ocean,Philadelphia,United States,Paita,Peru,"Vessel, Containerized",,"5311, boulevard de Maisonneuve ouest
Suite 304, Montréal, QC H4A 1Z5. Canada","3301 S. Columbus Boulevard, Philadelphia, PA 19148. United States","Sector Nueva Esperanza S/N Samán Marcavelica, Sullana, PIURA 01. Peru",,0,0.00,0.00,0.00,0.00,No,0
Delivered,3593,07/30/2024,COQUIMBA,"Equifruit, Inc.",1,"3,747.86","2,359.59",Claudia Ramirez,DELAWARE AVENUE ENTERPRISES INC,"24,562.48","3,747.86","14,275.13",Ocean,Philadelphia,United States,CORINTO,Nicaragua,"Vessel, Containerized",,"5311, boulevard de Maisonneuve ouest
Suite 304, Montréal, QC H4A 1Z5. Canada","3301 S. Columbus Boulevard, Philadelphia, PA 19148. United States","Parque Las Rosas 1/2 Cuadra Al Sur, Chinandega, Nicaragua","5311, boulevard de Maisonneuve ouest
Suite 304, Montréal, QC H4A 1Z5. Canada",0,0.00,0.00,0.00,0.00,No,0
Delivered,3592,07/30/2024,COQUIMBA,"Equifruit, Inc.",1,"3,747.86","2,359.59",Claudia Ramirez,DELAWARE AVENUE ENTERPRISES INC,"24,562.48","3,747.86","13,327.84",Ocean,Philadelphia,United States,Chinandega,Nicaragua,"Vessel, Containerized",,"5311, boulevard de Maisonneuve ouest
Suite 304, Montréal, QC H4A 1Z5. Canada","3301 S. Columbus Boulevard, Philadelphia, PA 19148. United States","Parque Las Rosas 1/2 Cuadra Al Sur, Chinandega, Nicaragua","5311, boulevard de Maisonneuve ouest
Suite 304, Montréal, QC H4A 1Z5. Canada",0,0.00,0.00,0.00,0.00,No,0
Delivered,3576,07/29/2024,C.I. AGRICOLAS LAS FLORES S.A.S.,United Safety Agents,1,"3,747.86","2,359.59",Claudia Ramirez,PSA PENN TERMINALS,"24,562.48","3,747.86","18,659.38",Ocean,Philadelphia,United States,Santa Marta,Colombia,"Vessel, Containerized",,"5311, boulevard de Maisonneuve ouest
Suite 304, Montréal, QC H4A 1Z5. Canada","1 Saville Avenue, Eddystone, PA 19022. United States","Carrera 4ta #12-55 P 2, santa marta, 470006. Colombia",,0,0.00,0.00,0.00,0.00,No,0
In Process,3575,07/29/2024,C.I. AGRICOLAS LAS FLORES S.A.S.,United Safety Agents,961,"42,140.04","4,393.71",Claudia Ramirez,PSA PENN TERMINALS,"45,736.98","42,140.04","18,659.38",Ocean,Philadelphia,United States,Santa Marta,Colombia,"Vessel, Containerized",Banano Cavendish Organico Fairtrade con banda; Banano Cavendish Organico Fairtrade con banda,"5311, boulevard de Maisonneuve ouest
Suite 304, Montréal, QC H4A 1Z5. Canada","1 Saville Avenue, Eddystone, PA 19022. United States","Carrera 4ta #12-55 P 2, santa marta, 470006. Colombia",,1,"3,747.86","2,359.59","24,562.48",0.00,No,0
Delivered,3500,07/26/2024,Coliman Pacific Corporation,"Equifruit, Inc.",1,"3,747.86","2,359.59",Claudia Ramirez,,"24,562.48","24,562.48","19,543.83",Ground,Seattle,United States,Nogales,United States,"Truck, Containerized",,"5311, boulevard de Maisonneuve ouest
Suite 304, Montréal, QC H4A 1Z5. Canada",,"10201 S 51st. Street Suite 127, Phoenix, AZ 85044. United States","5311, boulevard de Maisonneuve ouest
Suite 304, Montréal, QC H4A 1Z5. Canada",0,0.00,0.00,0.00,0.00,No,0
Delivered,3570,07/25/2024,Marplantis Organic Sustainable Agriculture,United Safety Agents,1,"3,747.86","2,359.59",Claudia Ramirez,"ANACAPA FRESH LOGISTICS, LLC","24,562.48","3,747.86","38,070.00",Ocean,Hueneme,United States,Puerto Bolivar,Ecuador,"Vessel, Containerized",,"5311, boulevard de Maisonneuve ouest
Suite 304, Montréal, QC H4A 1Z5. Canada","771 Mountain View Avenue, Oxnard, CA 93030. United States","DATILES 416 Y CALLE 6TA, GUAYAQUIL, GUAYAS Ecuador",,0,0.00,0.00,0.00,0.00,No,0
Delivered,3638,07/23/2024,Surgesa S.A.,"Equifruit, Inc.",1,"3,747.86","2,359.59",Claudia Ramirez,DELAWARE AVENUE ENTERPRISES INC,"24,562.48","3,747.86","17,635.24",Ocean,Philadelphia,United States,Puerto Bolivar,Ecuador,"Vessel, Containerized",,"5311, boulevard de Maisonneuve ouest
Suite 304, Montréal, QC H4A 1Z5. Canada","3301 S. Columbus Boulevard, Philadelphia, PA 19148. United States","Luque #127, Pedro Carbo, Guayaquil 090307. Ecuador","5311, boulevard de Maisonneuve ouest
Suite 304, Montréal, QC H4A 1Z5. Canada",0,0.00,0.00,0.00,0.00,No,0
Delivered,3607,07/23/2024,Latbio S.A.,United Safety Agents,1,"3,747.86","2,359.59",Claudia Ramirez,PSA PENN TERMINALS,"24,562.48","3,747.86","17,845.92",Ocean,Philadelphia,United States,Guayaquil,Ecuador,"Vessel, Containerized",,"5311, boulevard de Maisonneuve ouest
Suite 304, Montréal, QC H4A 1Z5. Canada","1 Saville Avenue, Eddystone, PA 19022. United States","10 de agosto entre Pichincha y García Moreno, Pasaje, El Oro Ecuador",,0,0.00,0.00,0.00,0.00,No,0
Delivered,3591,07/23/2024,Latbio S.A.,United Safety Agents,1,"3,747.86","2,359.59",Claudia Ramirez,DELAWARE AVENUE ENTERPRISES INC,"24,562.48","3,747.86","17,391.65",Ocean,Philadelphia,United States,Puerto Bolivar,Ecuador,"Vessel, Containerized",,"5311, boulevard de Maisonneuve ouest
Suite 304, Montréal, QC H4A 1Z5. Canada","3301 S. Columbus Boulevard, Philadelphia, PA 19148. United States","10 de agosto entre Pichincha y García Moreno, Pasaje, El Oro Ecuador",,0,0.00,0.00,0.00,0.00,No,0
Delivered,3608,07/23/2024,Hacienda Celia María C.A.,"Equifruit, Inc.",1,"3,747.86","2,359.59",Claudia Ramirez,DELAWARE AVENUE ENTERPRISES INC,"24,562.48","3,747.86","17,551.99",Ocean,Philadelphia,United States,Puerto Bolivar,Ecuador,"Vessel, Containerized",,"5311, boulevard de Maisonneuve ouest
Suite 304, Montréal, QC H4A 1Z5. Canada","3301 S. Columbus Boulevard, Philadelphia, PA 19148. United States","Luque 127 y Pedro Carbo, Guayaquil, Ecuador","5311, boulevard de Maisonneuve ouest
Suite 304, Montréal, QC H4A 1Z5. Canada",0,0.00,0.00,0.00,0.00,No,0
Delivered,3586,07/23/2024,Hacienda Celia María C.A.,United Safety Agents,1,"3,747.86","2,359.59",Claudia Ramirez,DELAWARE AVENUE ENTERPRISES INC,"24,562.48","3,747.86","17,551.99",Ocean,Philadelphia,United States,Puerto Bolivar,Ecuador,"Vessel, Containerized",,"5311, boulevard de Maisonneuve ouest
Suite 304, Montréal, QC H4A 1Z5. Canada","3301 S. Columbus Boulevard, Philadelphia, PA 19148. United States","Luque 127 y Pedro Carbo, Guayaquil, Ecuador",,0,0.00,0.00,0.00,0.00,No,0
Delivered,3587,07/23/2024,ASOGUABO,United Safety Agents,1,"3,747.86","2,359.59",Claudia Ramirez,DELAWARE AVENUE ENTERPRISES INC,"24,562.48","3,747.86","18,521.76",Ocean,Philadelphia,United States,Puerto Bolivar,Ecuador,"Vessel, Containerized",,"5311, boulevard de Maisonneuve ouest
Suite 304, Montréal, QC H4A 1Z5. Canada","3301 S. Columbus Boulevard, Philadelphia, PA 19148. United States","VIA PANAMERICANA SUR Y QUINTA OESTE, El Guabo, El Oro 070115. Ecuador",,0,0.00,0.00,0.00,0.00,No,0
Delivered,3578,07/23/2024,ASOGUABO,"Equifruit, Inc.",1,"3,747.86","2,359.59",Claudia Ramirez,DELAWARE AVENUE ENTERPRISES INC,"24,562.48","3,747.86","18,866.85",Ocean,Philadelphia,United States,Guayaquil,Ecuador,"Vessel, Containerized",,"5311, boulevard de Maisonneuve ouest
Suite 304, Montréal, QC H4A 1Z5. Canada","3301 S. Columbus Boulevard, Philadelphia, PA 19148. United States","VIA PANAMERICANA SUR Y QUINTA OESTE, El Guabo, El Oro 070115. Ecuador","5311, boulevard de Maisonneuve ouest
Suite 304, Montréal, QC H4A 1Z5. Canada",0,0.00,0.00,0.00,0.00,No,0
Delivered,3583,07/23/2024,ASOGUABO,"Equifruit, Inc.",1,"3,747.86","2,359.59",Claudia Ramirez,DELAWARE AVENUE ENTERPRISES INC,"24,562.48","3,747.86","17,395.41",Ocean,Philadelphia,United States,Puerto Bolivar,Ecuador,"Vessel, Containerized",,"5311, boulevard de Maisonneuve ouest
Suite 304, Montréal, QC H4A 1Z5. Canada","3301 S. Columbus Boulevard, Philadelphia, PA 19148. United States","VIA PANAMERICANA SUR Y QUINTA OESTE, El Guabo, El Oro 070115. Ecuador","5311, boulevard de Maisonneuve ouest
Suite 304, Montréal, QC H4A 1Z5. Canada",0,0.00,0.00,0.00,0.00,No,0
Delivered,3582,07/23/2024,ASOGUABO,"Equifruit, Inc.",1,"3,747.86","2,359.59",Claudia Ramirez,DELAWARE AVENUE ENTERPRISES INC,"24,562.48","3,747.86","17,395.41",Ocean,Philadelphia,United States,Puerto Bolivar,Ecuador,"Vessel, Containerized",,"5311, boulevard de Maisonneuve ouest
Suite 304, Montréal, QC H4A 1Z5. Canada","3301 S. Columbus Boulevard, Philadelphia, PA 19148. United States","VIA PANAMERICANA SUR Y QUINTA OESTE, El Guabo, El Oro 070115. Ecuador","5311, boulevard de Maisonneuve ouest
Suite 304, Montréal, QC H4A 1Z5. Canada",0,0.00,0.00,0.00,0.00,No,0
Delivered,3581,07/23/2024,ASOGUABO,"Equifruit, Inc.",1,"3,747.86","2,359.59",Claudia Ramirez,DELAWARE AVENUE ENTERPRISES INC,"24,562.48","3,747.86","17,395.41",Ocean,Philadelphia,United States,Puerto Bolivar,Ecuador,"Vessel, Containerized",,"5311, boulevard de Maisonneuve ouest
Suite 304, Montréal, QC H4A 1Z5. Canada","3301 S. Columbus Boulevard, Philadelphia, PA 19148. United States","VIA PANAMERICANA SUR Y QUINTA OESTE, El Guabo, El Oro 070115. Ecuador","5311, boulevard de Maisonneuve ouest
Suite 304, Montréal, QC H4A 1Z5. Canada",0,0.00,0.00,0.00,0.00,No,0
Delivered,3580,07/23/2024,ASOGUABO,United Safety Agents,1,"3,747.86","2,359.59",Claudia Ramirez,DELAWARE AVENUE ENTERPRISES INC,"24,562.48","3,747.86","17,395.41",Ocean,Philadelphia,United States,Puerto Bolivar,Ecuador,"Vessel, Containerized",,"5311, boulevard de Maisonneuve ouest
Suite 304, Montréal, QC H4A 1Z5. Canada","3301 S. Columbus Boulevard, Philadelphia, PA 19148. United States","VIA PANAMERICANA SUR Y QUINTA OESTE, El Guabo, El Oro 070115. Ecuador",,0,0.00,0.00,0.00,0.00,No,0
Delivered,3585,07/23/2024,PRIECOR S.A.,United Safety Agents,1,"3,747.86","2,359.59",Claudia Ramirez,DELAWARE AVENUE ENTERPRISES INC,"24,562.48","3,747.86","17,391.65",Ocean,Philadelphia,United States,Puerto Bolivar,Ecuador,"Vessel, Containerized",,"5311, boulevard de Maisonneuve ouest
Suite 304, Montréal, QC H4A 1Z5. Canada","3301 S. Columbus Boulevard, Philadelphia, PA 19148. United States","Avenida 25 de Junio y Napoleón Mera. Edificio Contempo, Machala, Ecuador",,0,0.00,0.00,0.00,0.00,No,0
Delivered,3574,07/23/2024,Surgesa S.A.,"Equifruit, Inc.",1,"3,747.86","2,359.59",Claudia Ramirez,DELAWARE AVENUE ENTERPRISES INC,"24,562.48","3,747.86","39,285.00",Ocean,Philadelphia,United States,Guayaquil,Ecuador,"Vessel, Containerized",,"5311, boulevard de Maisonneuve ouest
Suite 304, Montréal, QC H4A 1Z5. Canada","3301 S. Columbus Boulevard, Philadelphia, PA 19148. United States","Luque #127, Pedro Carbo, Guayaquil 090307. Ecuador","5311, boulevard de Maisonneuve ouest
Suite 304, Montréal, QC H4A 1Z5. Canada",0,0.00,0.00,0.00,0.00,No,0
Delivered,3560,07/23/2024,Surgesa S.A.,"Equifruit, Inc.",1,"3,747.86","2,359.59",Claudia Ramirez,DELAWARE AVENUE ENTERPRISES INC,"24,562.48","3,747.86","39,285.00",Ocean,Philadelphia,United States,Guayaquil,Ecuador,"Vessel, Containerized",,"5311, boulevard de Maisonneuve ouest
Suite 304, Montréal, QC H4A 1Z5. Canada","3301 S. Columbus Boulevard, Philadelphia, PA 19148. United States","Luque #127, Pedro Carbo, Guayaquil 090307. Ecuador","5311, boulevard de Maisonneuve ouest
Suite 304, Montréal, QC H4A 1Z5. Canada",0,0.00,0.00,0.00,0.00,No,0
Delivered,3573,07/23/2024,Marplantis Organic Sustainable Agriculture,"Equifruit, Inc.",1,"3,747.86","2,359.59",Claudia Ramirez,DELAWARE AVENUE ENTERPRISES INC,"24,562.48","3,747.86","38,070.00",Ocean,Philadelphia,United States,Puerto Bolivar,Ecuador,"Vessel, Containerized",,"5311, boulevard de Maisonneuve ouest
Suite 304, Montréal, QC H4A 1Z5. Canada","3301 S. Columbus Boulevard, Philadelphia, PA 19148. United States","DATILES 416 Y CALLE 6TA, GUAYAQUIL, GUAYAS Ecuador","5311, boulevard de Maisonneuve ouest
Suite 304, Montréal, QC H4A 1Z5. Canada",0,0.00,0.00,0.00,0.00,No,0
Delivered,3564,07/23/2024,Marplantis Organic Sustainable Agriculture,United Safety Agents,1,"3,747.86","2,359.59",Claudia Ramirez,DELAWARE AVENUE ENTERPRISES INC,"24,562.48","3,747.86","38,070.00",Ocean,Philadelphia,United States,Guayaquil,Ecuador,"Vessel, Containerized",,"5311, boulevard de Maisonneuve ouest
Suite 304, Montréal, QC H4A 1Z5. Canada","3301 S. Columbus Boulevard, Philadelphia, PA 19148. United States","DATILES 416 Y CALLE 6TA, GUAYAQUIL, GUAYAS Ecuador",,0,0.00,0.00,0.00,0.00,No,0
Delivered,3567,07/23/2024,COQUIMBA,"Equifruit, Inc.",1,"3,747.86","2,359.59",Claudia Ramirez,DELAWARE AVENUE ENTERPRISES INC,"24,562.48","3,747.86","14,238.67",Ocean,Philadelphia,United States,CORINTO,Nicaragua,"Vessel, Containerized",,"5311, boulevard de Maisonneuve ouest
Suite 304, Montréal, QC H4A 1Z5. Canada","3301 S. Columbus Boulevard, Philadelphia, PA 19148. United States","Parque Las Rosas 1/2 Cuadra Al Sur, Chinandega, Nicaragua","5311, boulevard de Maisonneuve ouest
Suite 304, Montréal, QC H4A 1Z5. Canada",0,0.00,0.00,0.00,0.00,No,0
Delivered,3566,07/23/2024,COQUIMBA,"Equifruit, Inc.",1,"3,747.86","2,359.59",Claudia Ramirez,DELAWARE AVENUE ENTERPRISES INC,"24,562.48","3,747.86","13,293.80",Ocean,Philadelphia,United States,Chinandega,Nicaragua,"Vessel, Containerized",,"5311, boulevard de Maisonneuve ouest
Suite 304, Montréal, QC H4A 1Z5. Canada","3301 S. Columbus Boulevard, Philadelphia, PA 19148. United States","Parque Las Rosas 1/2 Cuadra Al Sur, Chinandega, Nicaragua","5311, boulevard de Maisonneuve ouest
Suite 304, Montréal, QC H4A 1Z5. Canada",0,0.00,0.00,0.00,0.00,No,0
In Process,3496,07/23/2024,Coliman Pacific Corporation,"Equifruit, Inc.",931,"40,940.28","4,330.15",Claudia Ramirez,,"45,075.28","45,075.28","23,816.93",Ground,Calgary,Canada,Nogales,United States,"Truck, Containerized",Banano Cavendish Organico Fairtrade 3lb con Banda Costco; Banano Cavendish Organico Fairtrade con banda,"5311, boulevard de Maisonneuve ouest
Suite 304, Montréal, QC H4A 1Z5. Canada",,"10201 S 51st. Street Suite 127, Phoenix, AZ 85044. United States","5311, boulevard de Maisonneuve ouest
Suite 304, Montréal, QC H4A 1Z5. Canada",1,"3,747.86","2,359.59","24,562.48",0.00,No,0
Delivered,3526,07/23/2024,Coliman Pacific Corporation,"Equifruit, Inc.",1,"3,747.86","2,359.59",Claudia Ramirez,,"24,562.48","24,562.48","22,699.81",Ground,Toronto,Canada,Pharr,United States,"Truck, Containerized",,"5311, boulevard de Maisonneuve ouest
Suite 304, Montréal, QC H4A 1Z5. Canada",,"10201 S 51st. Street Suite 127, Phoenix, AZ 85044. United States","5311, boulevard de Maisonneuve ouest
Suite 304, Montréal, QC H4A 1Z5. Canada",0,0.00,0.00,0.00,0.00,No,0
Delivered,3569,07/19/2024,C.I. AGRICOLAS LAS FLORES S.A.S.,United Safety Agents,1,"3,747.86","2,359.59",Claudia Ramirez,PSA PENN TERMINALS,"24,562.48","3,747.86","40,608.00",Ocean,Philadelphia,United States,Santa Marta,Colombia,"Vessel, Containerized",,"5311, boulevard de Maisonneuve ouest
Suite 304, Montréal, QC H4A 1Z5. Canada","1 Saville Avenue, Eddystone, PA 19022. United States","Carrera 4ta #12-55 P 2, santa marta, 470006. Colombia",,0,0.00,0.00,0.00,0.00,No,0
In Process,3568,07/19/2024,C.I. AGRICOLAS LAS FLORES S.A.S.,United Safety Agents,961,"42,140.04","4,393.71",Claudia Ramirez,PSA PENN TERMINALS,"45,736.98","42,140.04","40,608.00",Ocean,Philadelphia,United States,Santa Marta,Colombia,"Vessel, Containerized",Banano Cavendish Organico Fairtrade con banda; Banano Cavendish Organico Fairtrade con banda,"5311, boulevard de Maisonneuve ouest
Suite 304, Montréal, QC H4A 1Z5. Canada","1 Saville Avenue, Eddystone, PA 19022. United States","Carrera 4ta #12-55 P 2, santa marta, 470006. Colombia",,1,"3,747.86","2,359.59","24,562.48",0.00,No,0
Delivered,3543,07/18/2024,Marplantis Organic Sustainable Agriculture,United Safety Agents,1,"3,747.86","2,359.59",Claudia Ramirez,"ANACAPA FRESH LOGISTICS, LLC","24,562.48","3,747.86","17,359.92",Ocean,Port Hueneme,United States,Puerto Bolivar,Ecuador,"Vessel, Containerized",,"5311, boulevard de Maisonneuve ouest
Suite 304, Montréal, QC H4A 1Z5. Canada","771 Mountain View Avenue, Oxnard, CA 93030. United States","DATILES 416 Y CALLE 6TA, GUAYAQUIL, GUAYAS Ecuador",,0,0.00,0.00,0.00,0.00,No,0
Delivered,3544,07/16/2024,Marplantis Organic Sustainable Agriculture,United Safety Agents,1,"3,747.86","2,359.59",Claudia Ramirez,DELAWARE AVENUE ENTERPRISES INC,"24,562.48","3,747.86","18,320.26",Ocean,Philadelphia,United States,Guayaquil,Ecuador,"Vessel, Containerized",,"5311, boulevard de Maisonneuve ouest
Suite 304, Montréal, QC H4A 1Z5. Canada","3301 S. Columbus Boulevard, Philadelphia, PA 19148. United States","DATILES 416 Y CALLE 6TA, GUAYAQUIL, GUAYAS Ecuador",,0,0.00,0.00,0.00,0.00,No,0
Delivered,3571,07/16/2024,Latbio S.A.,"Equifruit, Inc.",1,"3,747.86","2,359.59",Claudia Ramirez,DELAWARE AVENUE ENTERPRISES INC,"24,562.48","3,747.86","17,309.16",Ocean,Philadelphia,United States,Puerto Bolivar,Ecuador,"Vessel, Containerized",,"5311, boulevard de Maisonneuve ouest
Suite 304, Montréal, QC H4A 1Z5. Canada","3301 S. Columbus Boulevard, Philadelphia, PA 19148. United States","10 de agosto entre Pichincha y García Moreno, Pasaje, El Oro Ecuador","5311, boulevard de Maisonneuve ouest
Suite 304, Montréal, QC H4A 1Z5. Canada",0,0.00,0.00,0.00,0.00,No,0
In Process,3550,07/16/2024,ASOGUABO,United Safety Agents,961,"42,140.04","4,393.71",Claudia Ramirez,DELAWARE AVENUE ENTERPRISES INC,"45,736.98","42,140.04","18,486.21",Ocean,Philadelphia,United States,Puerto Bolivar,Ecuador,"Vessel, Containerized",Banano Cavendish Organico Fairtrade con banda; Banano Cavendish Organico Fairtrade con banda,"5311, boulevard de Maisonneuve ouest
Suite 304, Montréal, QC H4A 1Z5. Canada","3301 S. Columbus Boulevard, Philadelphia, PA 19148. United States","VIA PANAMERICANA SUR Y QUINTA OESTE, El Guabo, El Oro 070115. Ecuador",,1,"3,747.86","2,359.59","24,562.48",0.00,No,0
Delivered,3559,07/16/2024,ASOGUABO,"Equifruit, Inc.",1,"3,747.86","2,359.59",Claudia Ramirez,DELAWARE AVENUE ENTERPRISES INC,"24,562.48","3,747.86","17,349.76",Ocean,Philadelphia,United States,Puerto Bolivar,Ecuador,"Vessel, Containerized",,"5311, boulevard de Maisonneuve ouest
Suite 304, Montréal, QC H4A 1Z5. Canada","3301 S. Columbus Boulevard, Philadelphia, PA 19148. United States","VIA PANAMERICANA SUR Y QUINTA OESTE, El Guabo, El Oro 070115. Ecuador","5311, boulevard de Maisonneuve ouest
Suite 304, Montréal, QC H4A 1Z5. Canada",0,0.00,0.00,0.00,0.00,No,0
Delivered,3565,07/16/2024,APPBOSA,"Equifruit, Inc.",1,"3,747.86","2,359.59",Claudia Ramirez,DELAWARE AVENUE ENTERPRISES INC,"24,562.48","3,747.86","18,175.63",Ocean,Philadelphia,United States,Paita,Peru,"Vessel, Containerized",,"5311, boulevard de Maisonneuve ouest
Suite 304, Montréal, QC H4A 1Z5. Canada","3301 S. Columbus Boulevard, Philadelphia, PA 19148. United States","Sector Nueva Esperanza S/N Samán Marcavelica, Sullana, PIURA 01. Peru","5311, boulevard de Maisonneuve ouest
Suite 304, Montréal, QC H4A 1Z5. Canada",0,0.00,0.00,0.00,0.00,No,0
Delivered,3563,07/16/2024,Latbio S.A.,United Safety Agents,1,"3,747.86","2,359.59",Claudia Ramirez,DELAWARE AVENUE ENTERPRISES INC,"24,562.48","3,747.86","17,347.23",Ocean,Philadelphia,United States,Puerto Bolivar,Ecuador,"Vessel, Containerized",,"5311, boulevard de Maisonneuve ouest
Suite 304, Montréal, QC H4A 1Z5. Canada","3301 S. Columbus Boulevard, Philadelphia, PA 19148. United States","10 de agosto entre Pichincha y García Moreno, Pasaje, El Oro Ecuador",,0,0.00,0.00,0.00,0.00,No,0
Delivered,3562,07/16/2024,Hacienda Celia María C.A.,United Safety Agents,1,"3,747.86","2,359.59",Claudia Ramirez,DELAWARE AVENUE ENTERPRISES INC,"24,562.48","3,747.86","17,507.17",Ocean,Philadelphia,United States,Puerto Bolivar,Ecuador,"Vessel, Containerized",,"5311, boulevard de Maisonneuve ouest
Suite 304, Montréal, QC H4A 1Z5. Canada","3301 S. Columbus Boulevard, Philadelphia, PA 19148. United States","Luque 127 y Pedro Carbo, Guayaquil, Ecuador",,0,0.00,0.00,0.00,0.00,No,0
Delivered,3561,07/16/2024,Hacienda Celia María C.A.,United Safety Agents,1,"3,747.86","2,359.59",Claudia Ramirez,DELAWARE AVENUE ENTERPRISES INC,"24,562.48","3,747.86","17,507.17",Ocean,Philadelphia,United States,Puerto Bolivar,Ecuador,"Vessel, Containerized",,"5311, boulevard de Maisonneuve ouest
Suite 304, Montréal, QC H4A 1Z5. Canada","3301 S. Columbus Boulevard, Philadelphia, PA 19148. United States","Luque 127 y Pedro Carbo, Guayaquil, Ecuador",,0,0.00,0.00,0.00,0.00,No,0
In Process,3557,07/16/2024,ASOGUABO,United Safety Agents,961,"42,140.04","4,393.71",Claudia Ramirez,DELAWARE AVENUE ENTERPRISES INC,"45,736.98","42,140.04","18,792.42",Ocean,Philadelphia,United States,Guayaquil,Ecuador,"Vessel, Containerized",Banano Cavendish Organico Fairtrade con banda; Banano Cavendish Organico Fairtrade con banda,"5311, boulevard de Maisonneuve ouest
Suite 304, Montréal, QC H4A 1Z5. Canada","3301 S. Columbus Boulevard, Philadelphia, PA 19148. United States","VIA PANAMERICANA SUR Y QUINTA OESTE, El Guabo, El Oro 070115. Ecuador",,1,"3,747.86","2,359.59","24,562.48",0.00,No,0
