container,pieces,manufacturer,departure_date,arrival_date,purchase_order_harvest_date,description,item_definition_categories,part_number,purchase_order_pallets,unitary_value,status,purchase_order_container#
4600,900,Coliman Pacific Corporation,NaN,NaN,NaN,Banano Cavendish Organico Fairtrade 3lb con Banda Costco,NaN,007MXCOL,Chep,25.68,Ordered,NaN
4601,960,Coliman Pacific Corporation,NaN,NaN,NaN,Banano Cavendish Organico Fairtrade con banda,Organic,001MXCOL,Chep,25.31,Ordered,NaN
4602,900,Coliman Pacific Corporation,NaN,NaN,NaN,Banano Cavendish Organico Fairtrade 3lb con Banda Costco,NaN,007MXCOL,Chep,25.68,Ordered,NaN
4603,900,Coliman Pacific Corporation,NaN,NaN,NaN,Banano Cavendish Organico Fairtrade 3lb con Banda Costco,NaN,007MXCOL,Chep,25.68,Ordered,NaN
4604,900,ASOGUABO,01/10/2025,01/19/2025,NaN,Banano Cavendish Organico Fairtrade 3lb con Banda Costco,Costco,007ECELG,Walk Global/Escobar,20.32,On Hand,SMLU5454111
4605,900,ASOGUABO,01/10/2025,01/19/2025,NaN,Banano Cavendish Organico Fairtrade 3lb con Banda Costco,Costco,007ECELG,Walk Global/Escobar,20.32,On Hand,TEXU9523830
4606,900,ASOGUABO,01/12/2025,01/28/2025,NaN,Banano Cavendish Organico Fairtrade 3lb con Banda Costco,Costco,007ECELG,Walk Global/Escobar,20.32,On Hand,NaN
4607,900,ASOGUABO,01/10/2025,01/19/2025,NaN,Banano Cavendish Organico Fairtrade 3lb con Banda Costco,Costco,007ECELG,Walk Global/Escobar,20.32,On Hand,CAAU4104110
4608,960,ASOGUABO,01/10/2025,01/19/2025,NaN,Banano Cavendish Organico Fairtrade con banda,Organic,001ECELG,Tipo CHEP,20.11,On Hand,SMLU5465414
4609,900,Coliman Pacific Corporation,NaN,NaN,NaN,Banano Cavendish Organico Fairtrade 3lb con Banda Costco,NaN,007MXCOL,Chep,25.68,Ordered,NaN
4610,720,Coliman Pacific Corporation,NaN,NaN,NaN,Banano Cavendish Organico Fairtrade con banda,Organic,001MXCOL,Chep,25.31,Ordered,NaN
4611,900,PRIECOR S.A.,01/11/2025,01/27/2025,NaN,Banano Cavendish Organico Fairtrade 3lb con Banda Costco,NaN,007ECPRI,Walk Global/Escobar,20.4,On Hand,NaN
4612,900,Marplantis Organic Sustainable Agriculture,NaN,NaN,NaN,Banano Cavendish Organico Fairtrade 3lb con Banda Costco,NaN,007ECMAR,Walk Global/Escobar,20.4,Ordered,NaN
4613,960,C.I. AGRICOLAS LAS FLORES S.A.S.,NaN,NaN,NaN,Banano Cavendish Organico Fairtrade con banda,Organic,001COCIA,Chep,20.4,Ordered,NaN
4614,960,C.I. AGRICOLAS LAS FLORES S.A.S.,NaN,NaN,NaN,Banano Cavendish Organico Fairtrade con banda,Organic,001COCIA,Chep,20.4,Ordered,NaN
4615,900,Hacienda Celia María C.A.,01/11/2025,01/27/2025,NaN,Banano Cavendish Organico Fairtrade 3lb con Banda Costco,NaN,007ECHCM,Walk Global/Escobar,20.42,On Hand,NaN
4616,900,Marplantis Organic Sustainable Agriculture,01/11/2025,01/27/2025,NaN,Banano Cavendish Organico Fairtrade 3lb con Banda Costco,NaN,007ECMAR,Walk Global/Escobar,20.23,On Hand,NaN
4617,900,Marplantis Organic Sustainable Agriculture,01/12/2025,01/24/2025,NaN,Banano Cavendish Organico Fairtrade 3lb con Banda Costco,NaN,007ECMAR,Walk Global/Escobar,20.23,On Hand,NaN
4618,960,Marplantis Organic Sustainable Agriculture,01/11/2025,01/27/2025,NaN,Banano Cavendish Organico Fairtrade con banda,NaN,001ECMAR,Tipo CHEP,20.02,On Hand,NaN
4619,960,Marplantis Organic Sustainable Agriculture,01/11/2025,01/27/2025,NaN,Banano Cavendish Organico Fairtrade con banda,NaN,001ECMAR,Tipo CHEP,20.02,On Hand,NaN
4620,900,Surgesa S.A.,NaN,NaN,NaN,Banano Cavendish Organico Fairtrade 3lb con Banda Costco,NaN,007ECSUR,Walk Global/Escobar,21.01,Ordered,NaN
4621,900,Surgesa S.A.,NaN,NaN,NaN,Banano Cavendish Organico Fairtrade 3lb con Banda Costco,NaN,007ECSUR,Walk Global/Escobar,21.01,Ordered,NaN
4622,900,Marplantis Organic Sustainable Agriculture,NaN,NaN,NaN,Banano Cavendish Organico Fairtrade 3lb con Banda Costco,NaN,007ECMAR,Walk Global/Escobar,20.36,Ordered,NaN
4623,900,Marplantis Organic Sustainable Agriculture,NaN,NaN,NaN,Banano Cavendish Organico Fairtrade 3lb con Banda Costco,NaN,007ECMAR,Walk Global/Escobar,20.36,Ordered,NaN
4624,900,ASOGUABO,NaN,NaN,NaN,Banano Cavendish Organico Fairtrade 3lb con Banda Costco,Costco,007ECELG,Walk Global/Escobar,20.29,Ordered,NaN
4625,900,ASOGUABO,NaN,NaN,NaN,Banano Cavendish Organico Fairtrade 3lb con Banda Costco,Costco,007ECELG,Walk Global/Escobar,20.29,Ordered,NaN
4626,960,ASOGUABO,NaN,NaN,NaN,Banano Cavendish Organico Fairtrade con banda,Organic,001ECELG,Walk Global/Escobar,20.07,Ordered,NaN
4627,900,PRIECOR S.A.,NaN,NaN,NaN,Banano Cavendish Organico Fairtrade 3lb con Banda Costco,NaN,007ECPRI,Walk Global/Escobar,20.36,Ordered,NaN
